Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,26.151968253968253,1669.1,144553713.0,470859.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1518900.0,True,2.254117647
1998,29.63939285714285,1381.9,163859800.0,480965.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1658500.0,False,2.73
1999,28.471535714285714,633.9,163376522.0,415638.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1539400.0,False,1.608823529
2000,27.80692857142857,791.3,158583818.0,420004.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1615400.0,False,0.918823529
2001,27.75467857142857,1313.0,178707074.0,454948.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1749800.0,False,1.133529412
2002,28.211273809523806,939.2,154766516.0,408700.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1634800.0,False,1.349411765
2003,28.348130952380952,1834.9,162426180.0,393840.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1641000.0,False,2.818181818
2004,28.65139285714286,1428.0,206528542.0,400323.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1906300.0,False,3.209090909
2005,27.521297619047623,1944.0,241135136.0,422268.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2010800.0,False,3.511818182
2006,29.02797619047619,2162.5,302940891.0,521862.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2372100.0,False,3.100909091
2007,28.10422619047619,2062.5,323094800.0,387520.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2422000.0,False,3.345909091
2008,27.914571428571428,1486.9,336658944.0,211824.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2353600.0,False,3.120434783
2009,28.537261904761905,1197.6999999999998,384002808.0,418948.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2464400.0,False,3.094782609
2010,27.948678571428577,2078.9,435739752.0,629568.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2623200.0,False,3.313043478
2011,28.195857142857147,1629.4,503079312.0,991023.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,3003100.0,False,3.286521739
2012,27.55394047619048,1026.8000000000002,370545760.0,761732.0,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2457200.0,False,2.389130435
2013,28.097369047619047,1701.9,376889160.9,704270.7,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2608410.0,False,3.703043478
2014,28.582857142857144,1065.8000000000002,435337391.3,951651.69,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2883793.0,False,3.495666667
2015,28.56,1036.0,429767540.2,898127.34,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2721598.0,False,2.913333333
2016,28.60142857142857,1113.7,366412168.0,836830.4,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2390944.0,False,2.946333333
2017,28.55952380952381,1643.4,413514113.3,998065.06,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2626487.0,False,3.962
2018,27.940952380952385,1643.4,431461083.2,931019.6,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2660056.0,False,3.031666667
2019,28.38047619047619,1643.4,455960279.4,982215.32,2.69,67.1,29.91,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2654636.0,False,3.182
