Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Yield (t/ha)
1997,22.577044444444443,64.4,8756591.7,28523.1,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,92010.0,False,1.215
1999,27.3288,1085.4,1474145.7,3750.3,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,13890.0,True,5.435
2000,27.673191666666664,937.6,1359654.5,3601.0,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,13850.0,True,5.8825
2001,27.430825,1433.2,471023.56,1199.12,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4612.0,True,8.092222222
2002,27.959125,930.3,531098.7,1402.5,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,5610.0,True,8.91875
2003,27.854325000000003,1235.8,256358.2,621.6,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2590.0,True,7.076666667
2019,23.249,191.1,25248.72,54.39,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,147.0,False,1.94
2004,23.149922222222223,151.4,273016.8,529.2,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2520.0,False,8.1725
1998,22.3021,213.4,524924.4,1540.77,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,5313.0,False,6.449090909
2005,23.07771111111111,219.3,326662.08,572.04,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2724.0,False,8.301428571
2006,23.38795555555556,47.4,620415.18,1068.76,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,4858.0,False,8.724285714
2007,23.14468888888889,80.4,776121.2,930.88,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,5818.0,False,8.147777778
2008,24.275466666666667,24.8,347444.16,218.61,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2429.0,False,7.437142857
2009,23.86878888888889,133.1,457331.7,498.95,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2935.0,False,8.92
2010,23.346522222222223,168.6,528395.91,763.44,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3181.0,False,10.50428571
2011,23.55643333333333,20.3,655003.2,1290.3,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,3910.0,False,9.218571429
2012,24.04243333333333,138.1,267820.8,550.56,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1776.0,False,1.694285714
2013,23.59191111111112,392.2,284789.79,532.17,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1971.0,False,1.82
2014,23.24866666666667,114.0,159564.72,348.81,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1057.0,False,1.55
2015,23.812666666666665,30.9,190123.64,397.32,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1204.0,False,1.901666667
2016,23.69,103.9,115397.25,263.55,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,753.0,False,1.741666667
2017,23.60933333333333,191.1,149095.68,359.86,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,947.0,False,2.055
2018,23.249,191.1,32440.0,70.0,39.66,28.16,49.36,29.09,28.75,42.16,0.46,39.6,59.94,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,200.0,False,1.54
