Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
2000,27.074336956521737,2941.6,23281015.5,61659.0,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,237150.0,True,73.8955
2001,27.01032608695652,2856.1,22294774.74,56757.48,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,218298.0,True,84.989
2002,27.409550724637683,2083.7,22008029.57,58117.75,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,232471.0,True,69.35666667
2003,27.27175362318841,2785.5,20683751.62,50152.56,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,208969.0,True,74.48380952
2005,27.189478260869564,3451.1,27576803.2,48291.6,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,229960.0,True,83.59
2006,27.313822463768112,2850.7,33757967.43,58153.26,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,264333.0,True,86.37380952
2008,27.530304347826085,2940.8,28053863.04,17651.34,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,196126.0,True,81.6452381
2009,27.989282608695653,2145.0,24593693.88,26831.78,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,157834.0,True,83.372
2010,27.297634057971017,3952.3,31848104.19,46014.96,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,191729.0,True,81.58380952
2011,27.327829710144925,2353.0,34180445.76,67332.54,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,204038.0,True,86.0155
2012,27.66480797101449,3042.0,29556800.0,60760.0,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,196000.0,True,81.79941176
2013,27.68095652173913,3231.8,22084863.03,41268.69,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,152847.0,True,84.42615385
2014,27.661739130434785,2173.1,21017556.96,45944.58,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,139226.0,True,81.93615385
2015,27.55,2915.3,19215278.35,40156.05,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,121685.0,True,85.06461538
2016,27.86521739130435,2507.7,15743679.0,35956.2,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,102732.0,True,86.50846154
2017,27.626956521739128,2542.9,15572705.28,37586.56,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,98912.0,True,92.49384615
2018,28.38086956521739,1841.0,16467355.0,35533.75,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,101525.0,False,84.04769231
2019,28.695652173913043,1841.0,14756073.36,31787.07,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,85911.0,False,83.44538462
1997,28.508206521739133,1631.1,18320225.0,59675.0,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,192500.0,False,77.1065
1998,27.476565217391304,3351.9,21113560.0,61973.0,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,213700.0,True,81.223
2004,27.34714492753623,2282.3,22701130.24,44002.56,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,209536.0,True,77.12619048
2007,27.41831884057971,2923.1000000000004,32949800.0,39520.0,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,247000.0,True,83.4125
2013,28.44332608695652,2047.2000000000005,5679757.41,10613.43,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39309.0,False,83.91888889
2014,28.74739130434783,1411.6,5757463.44,12585.87,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,38139.0,False,83.8575
2015,28.68826086956522,1859.7,5510269.45,11515.35,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,34895.0,False,70.39333333
2016,28.707391304347823,1961.1,4498960.25,10274.95,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,29357.0,False,65.524
2017,28.681304347826085,1841.0,5634462.72,13599.44,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,35788.0,False,77.33636364
2018,28.380869565217395,1841.0,6459452.8,13938.4,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39824.0,False,80.47047619
2019,28.695652173913043,1841.0,4485512.4,9662.55,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,26115.0,False,84.7273913
1999,27.445713768115944,2226.1000000000004,24666310.08,62752.32,3.74,23.8,49.52,17.89,8.73,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,232416.0,True,76.31571429
