Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,30.084464285714283,1266.1,639447.23,2082.89,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,6719.0,False,56.43
1997,25.184764285714287,1607.1,188933672.9,615419.13,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1985223.0,True,53.15815789
1998,26.144975,2213.5,195094629.6,572646.18,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1974642.0,True,51.80960526
1999,26.007066666666667,2083.6,213429977.1,542976.48,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2011024.0,True,52.28773333
2000,25.19719404761905,2102.6,190289390.2,503975.16,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1938366.0,True,50.03478261
2001,25.402327380952386,2121.0,207822600.8,529069.58,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2034883.0,True,52.52608696
2003,25.422532142857143,2741.5,395.92,0.96,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4.0,True,73.25
2003,25.422532142857143,2741.5,208860271.5,506430.24,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2110126.0,True,48.92214286
2004,25.612178571428565,1876.5,433.36,0.84,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4.0,True,75.25
2005,25.728452380952383,2015.5,479.68,0.84,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4.0,True,56.25
2006,25.798240476190475,1492.3,510.84,0.88,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4.0,True,75.25
2006,30.723328571428567,1289.3,286903069.2,494234.4,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2246520.0,False,51.90457143
2007,29.986275,1388.1,290676865.8,348637.92,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2178987.0,False,49.74928571
2008,30.54742857142857,2284.7,298120964.2,187576.11,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2084179.0,False,47.59257143
2009,30.661889285714285,1287.4,308106625.7,336145.08,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,1977324.0,False,50.34633803
2010,30.31867857142857,2018.1,352958833.5,509964.0,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2124850.0,False,52.28
2011,30.01911071428572,1905.8,362245918.1,713593.32,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2162404.0,False,55.13875
2012,30.30099285714286,1299.8,333526169.6,685630.72,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2211712.0,False,56.98173333
2013,30.908753571428576,1991.1,321935279.2,601581.6,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2228080.0,False,59.1904
2014,30.97942857142857,1056.7,336378280.6,735326.13,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2228261.0,False,59.21533333
2015,30.85514285714286,1203.5,342489104.1,715733.04,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2168888.0,False,59.79746667
2016,30.763142857142856,1773.8,330995633.3,755944.35,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2159841.0,False,64.83346667
2017,30.75771428571429,1546.0,351765358.1,849027.16,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2234282.0,False,67.24106667
2018,30.666,1546.0,360701171.0,778331.75,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2223805.0,False,68.77786667
2019,30.765000000000004,1546.0,379305680.7,817088.39,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2208347.0,False,70.96973333
1998,26.144975,2213.5,494.0,1.45,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5.0,True,60.0
1999,26.007066666666667,2083.6,424.52,1.08,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,4.0,True,50.0
2000,25.19719404761905,2102.6,490.85,1.3,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5.0,True,40.0
2001,25.402327380952386,2121.0,306.39,0.78,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,66.67
2002,25.535575000000005,1671.5,473.35,1.25,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5.0,True,68.0
2002,25.535575,1671.5,203444031.3,537245.25,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2148981.0,True,51.2157971
2004,30.52581428571429,1520.0,216931348.8,420487.2,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2002320.0,False,53.14528571
2005,30.2951,1787.4,258522456.7,452716.11,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2155791.0,False,48.78928571
2007,25.313417209181782,2286.698266024728,400.2,0.48,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,92.0
2008,25.313417209181782,2286.698266024728,429.12,0.27,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,75.33
2009,25.313417209181782,2286.698266024728,467.46,0.51,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,75.33
2010,25.313417209181782,2286.698266024728,498.33,0.72,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,75.33
2011,25.313417209181782,2286.698266024728,502.56,0.99,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,75.33
2012,25.313417209181782,2286.698266024728,452.4,0.93,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,75.33
2013,25.313417209181782,2286.698266024728,433.47,0.81,0.12,98.35,63.87,20.94,10.33,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3.0,True,75.33
